Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-25 00:00:00-04:00,23.991345611971308,24.60923077546434,23.721019932221587,23.846529006958008,8909500,0.0,0.0
2024-07-26 00:00:00-04:00,23.952726458883262,24.47406843774661,23.856181443377864,24.37752342224121,1027700,0.0,0.0
2024-07-29 00:00:00-04:00,23.9816899862524,24.21822333550084,22.924526785498923,24.05892562866211,1154500,0.0,0.0
2024-07-30 00:00:00-04:00,23.94307177318842,25.33331520871434,23.894800186157227,23.894800186157227,2736200,0.0,0.0
2024-07-31 00:00:00-04:00,23.89479977914748,24.213397035878394,23.856181037025927,23.943071365356445,1741700,0.0,0.0
2024-08-01 00:00:00-04:00,23.653438568115234,24.184433391230414,23.412076950073242,23.653438568115234,2392700,0.0,0.0
2024-08-02 00:00:00-04:00,22.20526898015768,23.730674340789054,22.20526898015768,22.813499450683594,612500,0.0,0.0
2024-08-05 00:00:00-04:00,21.963908082999392,22.2921600434234,21.075697220930266,22.050798416137695,740800,0.0,0.0
2024-08-06 00:00:00-04:00,22.0701071547815,22.967972677143504,22.0701071547815,22.755573272705078,152800,0.0,0.0
2024-08-07 00:00:00-04:00,23.083825632077584,23.170715964259,22.5431761085156,22.94866371154785,3959900,0.0,0.0
2024-08-08 00:00:00-04:00,22.890735379213922,23.26726076225186,22.398359290102004,22.88108253479004,217700,0.0,0.0
2024-08-09 00:00:00-04:00,22.0894144729682,23.547238866914995,22.0894144729682,23.17071533203125,145800,0.0,0.0
2024-08-12 00:00:00-04:00,23.479657785158278,23.875490689352443,22.73626356354758,23.527931213378906,114500,0.0,0.0
2024-08-13 00:00:00-04:00,23.50862196557864,23.566548238304676,23.035553415189497,23.17071533203125,360600,0.0,0.0
2024-08-14 00:00:00-04:00,23.17071533203125,23.334841305957525,22.784537111452664,23.17071533203125,581900,0.0,0.0
2024-08-15 00:00:00-04:00,23.006589358104975,23.50862196557864,22.99210825028422,23.17071533203125,336900,0.0,0.0
2024-08-16 00:00:00-04:00,22.83280869848386,23.576202923999517,22.83280869848386,23.17071533203125,353100,0.0,0.0
2024-08-19 00:00:00-04:00,23.392768419372803,23.50862281043146,23.17554258703975,23.49896812438965,297800,0.0,0.0
2024-08-20 00:00:00-04:00,23.402422793833992,23.614820359596735,23.402422793833992,23.48931312561035,194300,0.0,0.0
2024-08-21 00:00:00-04:00,23.730674526209565,23.774119691689663,23.566548550111754,23.66309356689453,286100,0.0,0.0
2024-08-22 00:00:00-04:00,23.72101931135206,24.136161585249223,23.585857395736422,24.068580627441406,409100,0.0,0.0
2024-08-23 00:00:00-04:00,24.290633610067594,25.17884445704775,24.14581700444494,24.937482833862305,255600,0.0,0.0
2024-08-26 00:00:00-04:00,24.63819376974218,25.207807320795844,24.63819376974218,25.140226364135742,224200,0.0,0.0
2024-08-27 00:00:00-04:00,25.00506326086179,25.256079564598622,24.831282601240673,24.860246658325195,196300,0.0,0.0
2024-08-28 00:00:00-04:00,25.03402731794631,25.101608276367188,24.763701642819797,25.101608276367188,170400,0.0,0.0
2024-08-29 00:00:00-04:00,24.995407917616394,25.198152628988456,24.758874569365773,24.89886474609375,199900,0.0,0.0
2024-08-30 00:00:00-04:00,24.985753889472107,25.178843920482905,24.618885040283203,24.618885040283203,470600,0.0,0.0
2024-09-03 00:00:00-04:00,24.811974749314373,24.811974749314373,24.020307105597812,24.126506805419922,123000,0.0,0.0
2024-09-04 00:00:00-04:00,24.02030741730414,24.27132372104097,23.643783882420394,23.653438568115234,125400,0.0,0.0
2024-09-05 00:00:00-04:00,23.730674967520294,24.078236297824553,23.556894302368164,23.556894302368164,125400,0.0,0.0
2024-09-06 00:00:00-04:00,23.672748907986513,23.904455849813083,22.794192729686277,22.95831871032715,109900,0.0,0.0
2024-09-09 00:00:00-04:00,23.141751906384176,23.141751906384176,22.842464007449887,22.94866371154785,220600,0.0,0.0
