Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-03 00:00:00+07:00,49.25,50.5,48.75,48.75,86492700,0.0,0.0
2025-04-04 00:00:00+07:00,48.0,48.25,45.0,45.0,90056800,0.0,0.0
2025-04-08 00:00:00+07:00,39.0,41.75,38.5,40.0,97264300,0.0,0.0
2025-04-09 00:00:00+07:00,40.5,43.25,39.75,42.25,87260500,0.0,0.0
2025-04-10 00:00:00+07:00,45.5,47.5,44.5,46.0,63327600,0.0,0.0
2025-04-11 00:00:00+07:00,44.5,46.25,44.5,45.0,41245000,0.0,0.0
2025-04-16 00:00:00+07:00,46.25,47.25,45.5,47.25,39982400,0.0,0.0
2025-04-17 00:00:00+07:00,47.0,47.25,46.25,46.5,25240600,0.0,0.0
2025-04-18 00:00:00+07:00,46.5,47.0,46.25,46.75,17311000,0.0,0.0
2025-04-21 00:00:00+07:00,46.5,47.0,44.5,44.5,23680300,0.0,0.0
2025-04-22 00:00:00+07:00,43.5,45.75,43.0,45.5,34277400,0.0,0.0
2025-04-23 00:00:00+07:00,46.25,46.25,45.25,45.5,27294400,0.0,0.0
2025-04-24 00:00:00+07:00,45.25,45.5,44.0,44.75,22645600,0.0,0.0
2025-04-25 00:00:00+07:00,45.25,46.25,45.0,45.5,18359700,0.0,0.0
2025-04-28 00:00:00+07:00,45.25,46.0,45.25,45.75,10315600,0.0,0.0
2025-04-29 00:00:00+07:00,46.25,47.5,45.75,47.25,26099500,0.0,0.0
2025-04-30 00:00:00+07:00,47.5,49.0,47.25,49.0,35888200,0.0,0.0
2025-05-02 00:00:00+07:00,49.75,50.25,47.75,48.0,32000800,0.0,0.0
2025-05-06 00:00:00+07:00,48.0,48.75,47.25,47.25,27150700,0.0,0.0
2025-05-07 00:00:00+07:00,48.0,50.0,48.0,50.0,37055700,0.0,0.0
2025-05-08 00:00:00+07:00,50.0,50.5,49.25,49.25,29661800,0.0,0.0
2025-05-09 00:00:00+07:00,49.5,50.5,48.5,50.25,37313200,0.0,0.0
2025-05-13 00:00:00+07:00,51.0,51.25,49.5,49.5,24449200,0.0,0.0
2025-05-14 00:00:00+07:00,49.75,50.0,48.75,48.75,18987600,0.0,0.0
2025-05-15 00:00:00+07:00,49.0,49.25,47.5,47.75,24468300,0.0,0.0
2025-05-16 00:00:00+07:00,48.75,48.75,47.75,48.5,20648400,0.0,0.0
2025-05-19 00:00:00+07:00,48.5,49.25,48.0,48.25,17695200,0.0,0.0
2025-05-20 00:00:00+07:00,48.5,49.0,48.0,48.25,26558200,0.0,0.0
2025-05-21 00:00:00+07:00,48.5,48.75,47.25,47.25,27161000,0.0,0.0
2025-05-22 00:00:00+07:00,47.25,47.5,46.5,47.0,17293300,0.0,0.0
2025-05-23 00:00:00+07:00,47.5,48.25,47.0,48.0,19750300,0.0,0.0
2025-05-26 00:00:00+07:00,47.75,48.0,46.75,47.0,12531100,0.0,0.0
2025-05-27 00:00:00+07:00,47.0,47.0,46.25,46.25,17423900,0.0,0.0
2025-05-28 00:00:00+07:00,46.5,47.0,45.25,45.25,19252900,0.0,0.0
2025-05-29 00:00:00+07:00,46.25,46.5,45.75,45.75,14639800,0.0,0.0
2025-05-30 00:00:00+07:00,45.25,45.75,45.0,45.0,66870800,0.0,0.0
2025-06-04 00:00:00+07:00,45.0,45.0,43.25,44.0,30332800,0.0,0.0
2025-06-05 00:00:00+07:00,44.25,44.75,44.0,44.5,24290500,0.0,0.0
2025-06-06 00:00:00+07:00,44.5,44.5,43.25,43.75,25475300,0.0,0.0
2025-06-09 00:00:00+07:00,44.0,44.25,43.5,43.75,20939700,0.0,0.0
2025-06-10 00:00:00+07:00,43.75,44.25,43.5,43.75,14183300,0.0,0.0
2025-06-11 00:00:00+07:00,43.75,43.75,43.0,43.5,20662800,0.0,0.0
2025-06-12 00:00:00+07:00,43.75,44.5,43.25,43.5,32581700,0.0,0.0
2025-06-13 00:00:00+07:00,43.0,43.0,42.5,42.75,18016800,0.0,0.0
2025-06-16 00:00:00+07:00,42.5,44.5,41.5,43.75,98946915,0.0,0.0
2025-06-17 00:00:00+07:00,44.0,44.0,43.0,43.25,14143000,0.0,0.0
2025-06-18 00:00:00+07:00,43.25,43.5,40.5,40.5,33096400,0.0,0.0
2025-06-19 00:00:00+07:00,39.5,40.25,38.5,38.75,84606900,0.0,0.0
2025-06-20 00:00:00+07:00,39.25,40.0,38.75,38.75,41278500,0.0,0.0
2025-06-23 00:00:00+07:00,38.0,39.5,37.75,39.0,25398500,0.0,0.0
2025-06-24 00:00:00+07:00,40.0,41.75,39.75,41.75,56284400,0.0,0.0
2025-06-25 00:00:00+07:00,41.25,42.0,40.75,41.25,31380200,0.0,0.0
2025-06-26 00:00:00+07:00,41.0,41.75,41.0,41.5,21249400,0.0,0.0
2025-06-27 00:00:00+07:00,41.25,41.25,39.5,39.5,30497500,0.0,0.0
2025-06-30 00:00:00+07:00,39.5,40.25,38.75,38.75,37241100,0.0,0.0
2025-07-01 00:00:00+07:00,39.0,40.5,38.75,40.25,33264000,0.0,0.0
2025-07-02 00:00:00+07:00,40.25,40.75,39.5,40.25,35184400,0.0,0.0
2025-07-03 00:00:00+07:00,40.0,40.5,39.75,40.5,22693300,0.0,0.0
2025-07-04 00:00:00+07:00,40.75,41.75,40.5,41.0,30725400,0.0,0.0
2025-07-07 00:00:00+07:00,40.25,40.5,39.75,40.5,22490400,0.0,0.0
2025-07-08 00:00:00+07:00,40.0,40.25,39.75,39.75,18586700,0.0,0.0
2025-07-09 00:00:00+07:00,39.75,40.25,39.5,39.75,11801300,0.0,0.0
2025-07-11 00:00:00+07:00,40.25,40.75,40.0,40.0,32688000,0.0,0.0
2025-07-14 00:00:00+07:00,40.25,41.75,39.75,41.75,40804700,0.0,0.0
2025-07-15 00:00:00+07:00,41.75,43.0,41.5,43.0,36112300,0.0,0.0
2025-07-16 00:00:00+07:00,43.0,43.25,42.25,42.75,35436000,0.0,0.0
2025-07-17 00:00:00+07:00,43.0,45.0,43.0,45.0,86322100,0.0,0.0
2025-07-18 00:00:00+07:00,44.75,45.75,44.5,45.0,55341000,0.0,0.0
2025-07-21 00:00:00+07:00,45.0,45.25,44.0,44.25,24693500,0.0,0.0
2025-07-22 00:00:00+07:00,44.25,44.75,43.25,43.25,34550100,0.0,0.0
2025-07-23 00:00:00+07:00,44.0,45.5,44.0,45.25,41974100,0.0,0.0
2025-07-24 00:00:00+07:00,45.5,47.25,45.25,46.25,56232800,0.0,0.0
2025-07-25 00:00:00+07:00,45.75,46.5,45.75,46.5,22673800,0.0,0.0
2025-07-29 00:00:00+07:00,47.5,48.0,46.75,47.25,30658600,0.0,0.0
2025-07-30 00:00:00+07:00,47.25,47.5,46.75,47.5,31109600,0.0,0.0
2025-07-31 00:00:00+07:00,47.25,47.75,46.75,47.25,25122200,0.0,0.0
2025-08-01 00:00:00+07:00,47.25,47.75,45.0,45.25,43696100,0.0,0.0
2025-08-04 00:00:00+07:00,45.5,46.25,45.0,46.25,18334600,0.0,0.0
2025-08-05 00:00:00+07:00,46.5,47.25,46.5,46.75,19692100,0.0,0.0
2025-08-06 00:00:00+07:00,46.75,47.5,46.5,47.0,12046700,0.0,0.0
2025-08-07 00:00:00+07:00,48.0,49.0,47.75,48.0,38996100,0.0,0.0
2025-08-08 00:00:00+07:00,47.75,48.0,47.25,47.5,20809800,0.0,0.0
2025-08-13 00:00:00+07:00,48.75,48.75,47.5,48.0,34240400,0.0,0.0
2025-08-14 00:00:00+07:00,48.0,48.5,47.5,47.5,19318200,0.0,0.0
2025-08-15 00:00:00+07:00,47.5,47.75,47.0,47.0,13020900,0.0,0.0
2025-08-18 00:00:00+07:00,47.25,47.5,46.5,46.5,14021200,0.0,0.0
2025-08-19 00:00:00+07:00,46.25,47.0,46.25,46.5,11997000,0.0,0.0
2025-08-20 00:00:00+07:00,46.75,47.75,46.5,47.5,11248800,0.0,0.0
2025-08-21 00:00:00+07:00,48.0,48.0,46.75,47.0,20440400,0.0,0.0
2025-08-22 00:00:00+07:00,47.25,47.75,46.75,47.5,11374000,0.0,0.0
2025-08-25 00:00:00+07:00,48.0,49.0,47.75,48.25,30933400,0.0,0.0
2025-08-26 00:00:00+07:00,48.0,49.0,47.75,48.0,30807700,0.0,0.0
2025-08-27 00:00:00+07:00,48.0,48.25,47.5,47.5,12620700,0.0,0.0
2025-08-28 00:00:00+07:00,47.5,48.0,47.25,47.75,15234200,0.0,0.0
2025-08-29 00:00:00+07:00,47.75,48.25,46.75,47.0,37432500,0.0,0.0
2025-09-01 00:00:00+07:00,46.75,46.75,45.5,46.5,31415700,0.0,0.0
2025-09-02 00:00:00+07:00,46.75,47.0,46.25,46.5,12502200,0.0,0.0
2025-09-03 00:00:00+07:00,46.5,47.25,46.0,47.25,24560300,0.0,0.0
2025-09-04 00:00:00+07:00,47.5,48.0,46.75,47.0,18542600,0.0,0.0
2025-09-05 00:00:00+07:00,47.5,48.25,47.0,47.5,105767000,0.0,0.0
2025-09-08 00:00:00+07:00,47.75,48.25,45.0,45.25,81203700,0.0,0.0
2025-09-09 00:00:00+07:00,45.5,46.75,45.5,46.75,52987800,0.0,0.0
2025-09-10 00:00:00+07:00,47.0,47.0,46.5,47.0,13932600,0.0,0.0
2025-09-11 00:00:00+07:00,46.75,47.0,46.0,46.25,30413800,0.0,0.0
2025-09-12 00:00:00+07:00,46.5,47.0,46.25,46.5,14890300,0.0,0.0
2025-09-15 00:00:00+07:00,46.5,46.75,46.0,46.5,9424400,0.0,0.0
2025-09-16 00:00:00+07:00,46.5,46.75,46.25,46.25,14060500,0.0,0.0
2025-09-17 00:00:00+07:00,46.25,46.5,45.75,45.75,15364500,0.0,0.0
2025-09-18 00:00:00+07:00,46.0,46.25,45.25,45.75,24844900,0.0,0.0
2025-09-19 00:00:00+07:00,46.0,46.0,45.25,46.0,16512900,0.0,0.0
2025-09-22 00:00:00+07:00,45.75,46.0,45.25,45.25,11814700,0.0,0.0
2025-09-23 00:00:00+07:00,45.25,45.25,43.5,43.5,40217000,0.0,0.0
2025-09-24 00:00:00+07:00,43.5,43.75,42.5,43.25,39463000,0.0,0.0
2025-09-25 00:00:00+07:00,43.25,44.25,43.25,44.0,22618400,0.0,0.0
2025-09-26 00:00:00+07:00,43.75,44.25,43.25,43.5,15733500,0.0,0.0
2025-09-29 00:00:00+07:00,44.0,44.5,43.5,44.0,26263900,0.0,0.0
2025-09-30 00:00:00+07:00,43.75,44.0,43.25,43.5,19428200,0.0,0.0
2025-10-01 00:00:00+07:00,43.5,43.5,42.75,42.75,17814900,0.0,0.0
2025-10-02 00:00:00+07:00,43.25,43.75,42.75,43.5,23706300,0.0,0.0
2025-10-03 00:00:00+07:00,43.5,43.5,43.0,43.25,12198800,0.0,0.0
2025-10-06 00:00:00+07:00,43.0,43.25,42.5,42.75,14066700,0.0,0.0
2025-10-07 00:00:00+07:00,42.75,42.75,42.75,42.75,0,0.0,0.0
2025-10-08 00:00:00+07:00,43.75,44.25,43.5,43.75,13474500,0.0,0.0
2025-10-09 00:00:00+07:00,44.25,45.25,43.75,45.25,37719800,0.0,0.0
2025-10-10 00:00:00+07:00,45.25,45.5,44.75,45.25,16658300,0.0,0.0
2025-10-14 00:00:00+07:00,45.25,45.25,43.5,43.75,23313100,0.0,0.0
2025-10-15 00:00:00+07:00,44.25,44.5,43.75,44.25,12104000,0.0,0.0
2025-10-16 00:00:00+07:00,45.25,45.5,45.0,45.25,25811700,0.0,0.0
2025-10-17 00:00:00+07:00,44.75,45.5,44.75,45.0,18084400,0.0,0.0
2025-10-20 00:00:00+07:00,45.5,45.5,45.0,45.25,12000900,0.0,0.0
2025-10-21 00:00:00+07:00,45.5,45.5,44.75,44.75,12055600,0.0,0.0
2025-10-22 00:00:00+07:00,45.0,45.75,44.5,45.25,29977700,0.0,0.0
2025-10-24 00:00:00+07:00,45.5,46.0,45.0,45.75,24259400,0.0,0.0
2025-10-27 00:00:00+07:00,46.0,46.75,45.75,46.25,36359400,0.0,0.0
2025-10-28 00:00:00+07:00,46.25,46.25,45.0,45.25,24867400,0.0,0.0
2025-10-29 00:00:00+07:00,45.5,45.75,44.25,44.25,26680700,0.0,0.0
2025-10-30 00:00:00+07:00,44.0,44.75,43.75,44.5,14514100,0.0,0.0
2025-10-31 00:00:00+07:00,44.5,44.5,44.0,44.25,11891600,0.0,0.0
