Symbol,Weight
2082.SR,0.19999999958948417
SNDK,0.016326530620901235
VIK,0.0163265306206562
GEV,0.016326530620655325
GALD.SW,0.016326530620649985
MDLN,0.016326530620649978
DCII.JK,0.016326530620649104
402340.KS,0.016326530620649097
CARR,0.016326530620635757
BPAC3.SA,0.01632653062063308
SDZ.SW,0.016326530620632215
329180.KS,0.016326530620631302
300502.SZ,0.01632653062062778
ARGX,0.01632653062062688
CEG,0.016326530620625994
CVNA,0.01632653062062598
PLTR,0.016326530620625113
HAL.NS,0.016326530620625095
AMMN.JK,0.01632653062062423
RKLB,0.016326530620624204
VST,0.0163265306206242
ENR.F,0.016326530620621553
DELL,0.01632653062062154
DSV.VI,0.016326530620618868
CRWV,0.016326530620618007
CRWD,0.01632653062061799
DMART.NS,0.016326530620616207
IR,0.016326530620615353
UCB.VI,0.016326530620615308
VRT,0.01632653062061444
2359.HK,0.01632653062061353
BAM,0.01632653062061264
603986.SS,0.016326530620611797
BNTX,0.016326530620609986
SE,0.01632653062060909
HWM,0.016326530620608223
9992.HK,0.016326530620608203
BE,0.01632653062060732
601127.SS,0.016326530620604653
688012.SS,0.016326530620603758
GULF.BK,0.016326530620603758
207940.KS,0.0163265306206011
ARM,0.016326530620600216
300750.SZ,0.016326530620599352
MDB,0.01632653062059755
SYM,0.016326530620596663
688256.SS,0.016326530620588666
ASTS,0.016326530620574455
NET,0.01632653062057271
APP,0.016326530620560244
