Date,Open,High,Low,Close,Volume
2008-01-30,1230982.3329798514,1244077.8897136797,1230982.3329798514,1234911.0,0.0
2008-01-31,1237529.972368421,1244077.75,1237529.972368421,1244077.75,0.0
2008-02-01,1233601.3333333333,1237530.0,1233601.3333333333,1237530.0,0.0
2008-02-04,1228363.0,1228363.0,1224434.3336886994,1228363.0,0.0
2008-02-05,1237530.2116935484,1237530.2116935484,1217886.875,1217886.875,0.0
2008-02-06,1220505.625,1220505.625,1220505.625,1220505.625,0.0
2008-02-07,1227053.485962567,1242768.151737968,1224434.375,1224434.375,0.0
2008-02-08,1217886.5704787234,1237529.9022606383,1217886.5704787234,1230982.125,0.0
2008-02-11,1230982.125,1237529.9022606383,1230982.125,1230982.125,0.0
2008-02-12,1221815.4579326923,1237530.126201923,1221815.4579326923,1225744.125,0.0
2008-02-13,1223124.6965042374,1236220.25,1223124.6965042374,1236220.25,0.0
2008-02-14,1237530.0,1237530.0,1237530.0,1237530.0,0.0
2008-02-15,1230982.125,1230982.125,1224434.3477393617,1230982.125,0.0
2008-02-19,1217886.875,1237530.2116935484,1217886.875,1217886.875,0.0
2008-02-20,1228363.0,1237529.8880597015,1228363.0,1228363.0,0.0
2008-02-21,1255863.7777777778,1255863.7777777778,1237530.0,1237530.0,0.0
2008-02-22,1234911.0,1234911.0,1234911.0,1234911.0,0.0
2008-02-25,1230982.1108742005,1236220.3326226014,1228363.0,1228363.0,0.0
2008-02-26,1224434.2518538134,1236220.25,1224434.2518538134,1236220.25,0.0
2008-02-27,1228362.9179025423,1236220.25,1228362.9179025423,1236220.25,0.0
2008-02-28,1229672.625,1229672.625,1229672.625,1229672.625,0.0
2008-02-29,1229672.363372093,1238839.25,1228362.808139535,1238839.25,0.0
2008-03-03,1232291.6663113006,1232291.6663113006,1228363.0,1228363.0,0.0
2008-03-04,1237529.9721041445,1237529.9721041445,1230982.1944739637,1232291.75,0.0
2008-03-05,1228363.0,1228363.0,1228363.0,1228363.0,0.0
2008-03-06,1237529.8880597015,1237529.8880597015,1228363.0,1228363.0,0.0
2008-03-07,1229672.4732521186,1236220.25,1228362.9179025423,1236220.25,7.0
2008-03-10,1237529.9580670926,1237529.9580670926,1217886.6253993611,1229672.625,0.0
2008-03-11,1228363.0,1228363.0,1217886.5565031983,1228363.0,0.0
2008-03-12,1223124.875,1223124.875,1223124.875,1223124.875,0.0
2008-03-13,1225743.9031914894,1230982.125,1220505.6813829788,1230982.125,0.0
2008-03-14,1217886.6386782231,1228363.0828819068,1206100.638949079,1208719.75,0.0
2008-03-17,1194314.5016286643,1215267.3876221497,1194314.5016286643,1206100.5,5.0
2008-03-18,1216577.0831527626,1217886.6386782231,1206100.638949079,1208719.75,1.0
2008-03-19,1210029.3333333333,1213958.0,1208719.7777777778,1213958.0,1.0
2008-03-20,1211339.0961021506,1217886.875,1211339.0961021506,1217886.875,0.0
2008-03-24,1211339.0406820623,1229672.8207572503,1204791.262083781,1219196.375,0.0
2008-03-25,1217886.652837259,1224434.4305406853,1206100.6529710921,1223124.875,0.0
2008-03-26,1223124.8195187165,1224434.375,1223124.8195187165,1224434.375,0.0
2008-03-27,1224434.4305406853,1224434.4305406853,1223124.875,1223124.875,0.0
2008-03-28,1236220.374331551,1236220.374331551,1219196.1530748664,1224434.375,0.0
2008-03-31,1219196.0304555085,1236220.25,1204790.9216101696,1236220.25,0.0
2008-04-01,1244077.7356230032,1244077.7356230032,1223124.8474440896,1229672.625,0.0
2008-04-02,1220505.9307196564,1221815.4864393126,1219196.375,1219196.375,0.0
2008-04-03,1221815.3194593147,1223124.875,1221815.3194593147,1223124.875,0.0
2008-04-04,1219196.180910543,1229672.625,1212648.4033546327,1229672.625,0.0
2008-04-07,1224001.2320855614,1233234.0,1224001.2320855614,1233234.0,0.0
2008-04-08,1245104.7168610818,1245104.7168610818,1242466.7831389185,1243785.75,0.0
2008-04-09,1234552.9819724285,1245104.7168610818,1234552.9819724285,1243785.75,0.0
2008-04-10,1237190.6337579617,1242466.5,1233233.7340764331,1242466.5,0.0
2008-04-11,1234552.7006369426,1242466.5,1234552.7006369426,1242466.5,4.0
2008-04-14,1242466.5,1242466.5,1242466.5,1242466.5,0.0
2008-04-15,1242466.5,1242466.5,1242466.5,1242466.5,0.0
2008-04-16,1243785.75,1243785.75,1243785.75,1243785.75,0.0
2008-04-17,1245104.6503719448,1245104.6503719448,1241147.75,1241147.75,0.0
2008-04-18,1245104.6503719448,1245104.6503719448,1241147.75,1241147.75,0.0
2008-04-21,1235872.0,1235872.0,1235872.0,1235872.0,0.0
2008-04-22,1235871.926020408,1235871.926020408,1227958.125,1227958.125,0.0
2008-04-23,1235871.8497340425,1239828.75,1235871.8497340425,1239828.75,0.0
2008-04-24,1241147.8162778367,1243785.75,1241147.8162778367,1243785.75,0.0
2008-04-25,1242466.5,1243785.4665605095,1234552.7006369426,1242466.5,0.0
2008-04-28,1242466.5,1242466.5,1242466.5,1242466.5,0.0
2008-04-29,1241147.75,1241147.75,1241147.75,1241147.75,1.0
2008-04-30,1239828.566878981,1242466.5,1233233.7340764331,1242466.5,3.0
2008-05-01,1245104.7684098184,1245104.7684098184,1233234.0661686233,1235872.0,8.0
2008-05-02,1239828.7579449152,1245104.625,1237190.824417373,1245104.625,8.0
2008-05-05,1243785.75,1243785.75,1243785.75,1243785.75,0.0
2008-05-06,1245104.625,1245104.625,1239828.7579449152,1245104.625,3.0
2008-05-07,1245104.625,1245104.625,1245104.625,1245104.625,0.0
2008-05-08,1245104.625,1246423.5917637711,1245104.625,1245104.625,0.0
2008-05-09,1241147.75,1241147.75,1241147.75,1241147.75,0.0
2008-05-12,1276759.8613756613,1276759.8613756613,1241147.7578042326,1246423.625,0.0
2008-05-13,1237190.9669156882,1243785.8014941302,1234553.0330843115,1235872.0,0.0
2008-05-14,1246423.5837765958,1246423.5837765958,1239828.75,1239828.75,0.0
2008-05-15,1239828.75,1239828.75,1239828.75,1239828.75,0.0
2008-05-16,1245104.7168610818,1245104.7168610818,1242466.7831389185,1243785.75,0.0
2008-05-19,1245104.608974359,1246423.575721154,1233233.9082532052,1234552.875,0.0
2008-05-20,1239828.8643533124,1255656.4668769715,1239828.8643533124,1254337.5,1.0
2008-05-21,1255656.4412997905,1264889.2092505242,1250380.573899371,1258294.375,3.0
2008-05-22,1318966.8209876544,1325561.6550925926,1272802.9822530865,1282035.75,3.0
2008-05-23,1297862.9875647668,1297862.9875647668,1266207.792746114,1272802.625,1.0
2008-05-27,1276759.825860271,1276759.825860271,1260932.2247132428,1264889.125,1.0
2008-05-28,1271483.9921875,1271483.9921875,1260932.2578125,1266208.125,0.0
2008-05-29,1266208.0665280665,1276759.8004158004,1266208.0665280665,1268846.0,1.0
2008-05-30,1271483.8583934088,1280716.625,1271483.8583934088,1280716.625,0.0
2008-06-02,1292587.3003033367,1307095.9332659252,1282035.567239636,1304458.0,2.0
2008-06-03,1304458.0917257085,1311052.925354251,1299182.2248228744,1303139.125,2.0
2008-06-04,1293906.533095723,1305777.2352342159,1292587.566191446,1295225.5,0.0
2008-06-05,1292587.3333333333,1309733.9,1292587.3333333333,1305777.0,3.0
2008-06-06,1304457.991497462,1305776.9581218273,1293906.258502538,1299182.125,0.0
2008-06-09,1262251.3666413373,1305777.2758358663,1262251.3666413373,1301820.375,0.0
2008-06-10,1303139.0666666667,1311052.8666666667,1301820.0999999999,1305777.0,1.0
2008-06-11,1297863.2166836215,1299182.1833672433,1288630.4498982707,1296544.25,0.0
2008-06-12,1291268.4667689162,1299182.2673824131,1284673.6329243355,1289949.5,0.0
2008-06-13,1285992.4256859757,1297863.125,1285992.4256859757,1297863.125,0.0
2008-06-16,1297863.1583756346,1299182.125,1292587.2918781727,1299182.125,1.0
2008-06-17,1295225.1338742394,1300501.0,1295225.1338742394,1300501.0,0.0
2008-06-18,1295225.3084183673,1299182.2085459183,1285992.5414540817,1292587.375,0.0
2008-06-19,1297863.2418367348,1299182.2085459183,1292587.375,1292587.375,0.0
2008-06-20,1296544.275127551,1299182.2085459183,1292587.375,1292587.375,0.0
2008-06-23,1293906.3417091838,1299182.2085459183,1292587.375,1292587.375,0.0
2008-06-24,1292587.3499491354,1297863.2166836215,1292587.3499491354,1296544.25,1.0
2008-06-25,1293906.4003067485,1299182.2673824131,1280716.7326175869,1289949.5,0.0
2008-06-26,1293906.283092037,1293906.283092037,1275440.75,1275440.75,1.0
2008-06-27,1279397.417948718,1285992.25,1272802.585897436,1285992.25,1.0
2008-06-30,1274121.9895087,1293906.4924513819,1274121.9895087,1288630.625,0.0
2008-07-01,1282035.6413265306,1292587.375,1280716.674617347,1292587.375,0.0
2008-07-02,1299182.400712831,1304458.2683299389,1289949.632382892,1295225.5,0.0
2008-07-03,1292587.2918781727,1299182.125,1292587.2918781727,1299182.125,0.0
2008-07-07,1310712.2426246186,1310712.2426246186,1302760.5,1302760.5,2.0
2008-07-08,1304085.786734694,1304085.786734694,1292158.1728316327,1298784.625,0.0
2008-07-09,1290832.7097435899,1297459.161025641,1289507.4194871795,1292158.0,0.0
2008-07-10,1285531.7463805585,1285531.7463805585,1281555.875,1281555.875,0.0
2008-07-11,1280230.5228658537,1305411.0403963416,1280230.5228658537,1304085.75,0.0
