Date,Open,High,Low,Close,Volume
2020-06-19,3777.5,3980.0,3162.5,3280.0,12092.0
2020-06-22,3472.5,3487.5,2940.0,2992.5,2320.0
2020-06-23,2990.0,3093.5,2650.0,2825.0,2226.0
2020-06-24,2840.0,2946.5,2757.5,2880.0,1254.0
2020-06-25,2875.0,2875.0,2562.5,2625.0,1478.0
2020-06-26,2627.5,2650.0,2385.0,2495.0,836.0
2020-06-29,2457.5,2545.0,2290.0,2437.5,770.0
2020-06-30,2400.0,2452.5,2202.5,2250.0,1036.0
2020-07-01,2250.0,2250.0,2250.0,2250.0,0.0
2020-07-02,2250.0,2250.0,2250.0,2250.0,0.0
2020-07-06,2250.0,2250.0,2250.0,2250.0,0.0
2020-07-07,2250.0,2250.0,2250.0,2250.0,0.0
2020-07-08,2250.0,2250.0,2250.0,2250.0,0.0
2020-07-09,2505.0,2505.0,2247.5,2312.5,492.0
2020-07-10,2297.5,2407.5,2210.02490234375,2382.5,205.0
2020-07-13,2400.0,2402.5,2180.0,2185.0,335.0
2020-07-14,2125.0,2384.125,2017.5,2322.5,412.0
2020-07-15,2362.5,2625.0,2287.5,2550.0,1076.0
2020-07-16,2545.0,2725.0,2427.5,2697.5,582.0
2020-07-17,2745.0,2749.97509765625,2567.5,2677.5,336.0
2020-07-20,2652.5,2652.5,2517.5,2572.5,178.0
2020-07-21,2532.5,2630.0,2215.0,2262.5,800.0
2020-07-22,2265.0,2370.0,2147.5,2260.0,364.0
2020-07-23,2202.5,2326.25,2200.0,2252.5,504.0
2020-07-24,2315.0,2320.0,2225.0,2235.0,195.0
2020-07-27,2255.0,2255.0,2162.5,2175.0,176.0
2020-07-28,2145.0,2210.0,2090.02490234375,2130.0,252.0
2020-07-29,2115.0,2155.074951171875,2040.0,2072.5,233.0
2020-07-30,2160.0,2212.27490234375,2100.14990234375,2192.5,108.0
2020-07-31,2132.5,2277.5,2112.5,2277.5,302.0
2020-08-03,2307.5,2307.5,2200.0,2270.0,119.0
2020-08-04,2257.5,2310.0,2232.5,2272.5,130.0
2020-08-05,2262.5,2272.5,2172.5,2185.0,196.0
2020-08-06,2155.0,2285.0,2155.0,2250.0,114.0
2020-08-07,2247.5,2274.375,2160.0,2272.5,70.0
2020-08-10,2222.5,2284.97509765625,2222.5,2275.0,167.0
2020-08-11,2255.0,2267.5,2200.0,2240.0,96.0
2020-08-12,2250.0,2327.5,2207.52490234375,2282.5,140.0
2020-08-13,2260.0,2343.75,2212.5,2237.5,162.0
2020-08-14,2077.5,2125.0,1927.5,1927.5,406.0
2020-08-17,1970.0,2385.0,1962.5,2385.0,525.0
2020-08-18,2360.0,2567.5,2237.5,2390.0,609.0
2020-08-19,2390.0,2418.75,2200.0,2212.5,290.0
2020-08-20,2212.5,2387.5,2130.0,2387.5,177.0
2020-08-21,2432.5,2437.5,2232.52490234375,2267.5,114.0
2020-08-24,2425.0,2427.5,2167.5,2287.5,126.0
2020-08-25,2257.5,2298.75,2165.0,2195.0,91.0
2020-08-26,2195.0,2257.5,2195.0,2245.0,72.0
2020-08-27,2245.0,2310.0,2200.0,2225.0,56.0
2020-08-28,2197.5,2362.5,2197.5,2275.0,203.0
2020-08-31,2212.5,2312.5,2205.0,2307.5,144.0
2020-09-01,2305.0,2305.0,2127.5,2262.5,133.0
2020-09-02,2188.75,2250.0,2127.5,2247.5,143.0
2020-09-03,2230.0,2245.0,2027.5,2072.5,301.0
2020-09-04,2082.5,2245.0,2025.0,2225.0,266.0
2020-09-08,2320.0,2405.0,2090.0,2247.5,375.0
2020-09-09,2245.0,2416.25,2245.0,2400.0,279.0
2020-09-10,2350.0,2350.0,2130.0,2160.0,144.0
2020-09-11,2170.0,2302.5,2145.0,2230.0,272.0
2020-09-14,2247.5,2382.5,2102.5,2362.5,897.0
2020-09-15,2382.5,2437.5,2260.25,2290.0,987.0
2020-09-16,2325.0,2415.0,2292.5,2302.5,166.0
2020-09-17,2270.0,2382.5,2252.5,2297.5,304.0
2020-09-18,2310.0,2350.0,2107.5,2120.0,1993.0
2020-09-21,2112.5,2325.0,2012.5,2077.5,192.0
2020-09-22,2112.5,2140.0,2055.0,2075.0,110.0
2020-09-23,2062.5,2242.5,2030.0,2177.5,605.0
2020-09-24,2230.0,2230.0,2062.5,2132.5,352.0
2020-09-25,2187.5,2202.5,2132.52490234375,2187.5,222.0
2020-09-28,2205.0,2275.0,2157.5,2212.5,304.0
2020-09-29,2212.5,2250.0,2157.52490234375,2217.5,140.0
2020-09-30,2227.5,2267.5,2167.5,2255.0,228.0
2020-10-01,2255.0,2375.0,2255.0,2337.5,254.0
2020-10-02,2272.5,2325.0,2190.0,2322.5,196.0
2020-10-05,2342.5,2342.5,2206.050048828125,2275.0,106.0
2020-10-06,2322.5,2322.5,2260.0,2272.5,99.0
2020-10-07,2275.0,2390.0,2252.5,2305.0,110.0
2020-10-08,2320.0,2385.0,2320.0,2370.0,175.0
2020-10-09,2363.75,2377.5,2282.5,2315.0,63.0
2020-10-12,2315.0,2330.425048828125,2250.0,2282.5,91.0
2020-10-13,2292.5,2292.5,2185.0,2285.0,202.0
2020-10-14,2332.5,2370.0,2225.0,2245.0,75.0
2020-10-15,2210.0,2287.5,2210.0,2250.0,50.0
2020-10-16,2242.5,2352.5,2210.0,2257.5,78.0
2020-10-19,2285.0,2291.25,2207.5,2240.0,44.0
2020-10-20,2225.0,2290.0,2032.5,2032.5,293.0
2020-10-21,2065.0,2141.425048828125,1980.0,1997.5,229.0
2020-10-22,1987.5,2045.0,1950.0,1950.0,82.0
2020-10-23,2002.5,2060.0,1962.5,1977.5,59.0
2020-10-26,1990.0,2008.75,1960.0,1987.5,57.0
2020-10-27,2030.0,2050.0,1976.25,1977.5,98.0
2020-10-28,1967.5,1982.5,1900.0,1922.5,292.0
2020-10-29,1930.0,1930.0,1480.0,1490.0,1874.0
2020-10-30,1512.5,1512.5,1247.5,1247.5,796.0
2020-11-02,1295.0,1295.0,1060.0,1067.5,810.0
2020-11-03,1130.0,1173.5999755859375,1065.0,1075.0,290.0
2020-11-04,1077.5,1132.5,1000.0,1080.0,529.0
2020-11-05,1065.0,1285.0,1055.0,1275.0,481.0
2020-11-06,1337.5,1337.5,1182.5,1220.0,339.0
2020-11-09,1275.0,1312.5,1145.0,1217.5,460.0
2020-11-10,1220.0,1297.5,1140.0,1150.0,591.0
2020-11-11,1150.0,1222.5,1150.0,1180.0,567.0
2020-11-12,1197.5,1223.75,1075.0,1097.5,270.0
2020-11-13,1122.5,1210.0,1097.5,1117.5,522.0
2020-11-16,1162.5,1190.0,1080.0,1097.5,304.0
2020-11-17,1115.0,1133.574951171875,1045.0,1052.5,416.0
2020-11-18,1052.5,1105.0,1002.5,1040.0,540.0
2020-11-19,1027.5,1060.0,992.5,1000.0,633.0
2020-11-20,1007.5,1026.675048828125,965.0,980.0,1070.0
2020-11-23,1002.5,1007.3250122070312,910.0,910.0,1754.0
2020-11-24,950.0,1050.0,915.0,975.0,1809.0
2020-11-25,1007.8499755859375,1037.5,960.0,977.5,1172.0
2020-11-27,987.5,1000.0,947.5,975.0,680.0
2020-11-30,995.0,1037.5,977.5,1002.5,1439.0
2020-12-01,919.7000122070312,962.5,892.5,907.5,4283.0
2020-12-02,917.5,920.0,817.5,821.25,2837.0
2020-12-03,795.0,827.5,770.0,816.25,11762.0
2020-12-04,825.0,837.5,795.0,817.5,3844.0
2020-12-07,875.0,927.5,842.5,875.0,6452.0
2020-12-08,945.0,972.5,825.0,855.0,4202.0
2020-12-09,890.0,890.0,835.0,867.5,4456.0
2020-12-10,935.4500122070312,1002.5,890.0,992.5,12320.0
2020-12-11,1050.0,1220.0,1017.5,1182.5,16255.0
2020-12-14,1250.0,1265.699951171875,1005.0,1032.5,8796.0
2020-12-15,1050.0,1085.0,977.5,1040.0,3766.0
2020-12-16,1082.5,1197.5,1025.0,1162.5,6949.0
2020-12-17,1250.0,1417.5,1235.0,1360.0,10292.0
2020-12-18,1385.0,1605.0,1375.0,1580.0,13774.0
2020-12-21,1570.0,1730.0,1302.5,1712.5,8057.0
2020-12-22,1700.0,1887.5,1625.0,1670.0,8033.0
2020-12-23,1700.0,1735.2750244140625,1572.5,1685.0,4283.0
2020-12-24,1665.0,1687.5,1450.0,1500.0,3231.0
2020-12-28,1522.5,1600.0,1315.0,1337.5,4776.0
2020-12-29,1352.5,1362.2249755859375,1175.0,1192.5,4936.0
2020-12-30,1195.0,1375.0,1167.5,1312.5,3592.0
2020-12-31,1292.5,1345.0,1237.5,1327.5,1672.0
2021-01-04,1377.5,1407.699951171875,1190.0,1305.0,3139.0
2021-01-05,1317.5,1556.25,1250.0,1497.5,8075.0
2021-01-06,1547.5,1587.5,1402.5,1460.0,3576.0
2021-01-07,1525.0,1617.5,1495.0,1525.0,2987.0
2021-01-08,1512.5,1595.0,1463.75,1570.0,1513.0
2021-01-11,1550.0,1685.0,1550.0,1570.0,1666.0
2021-01-12,1582.5,1587.9000244140625,1475.0,1510.0,2102.0
2021-01-13,1502.5,1525.0,1407.5,1440.0,1977.0
2021-01-14,1490.0,1495.75,1330.0,1350.0,3360.0
2021-01-15,1357.5,1425.0,1304.9749755859375,1355.0,2131.0
2021-01-19,1380.0,1587.5,1379.5,1580.0,3630.0
2021-01-20,1590.0,1695.0,1512.5,1527.5,2146.0
2021-01-21,1560.0,1583.574951171875,1492.5,1555.0,1835.0
2021-01-22,1520.0,1565.0,1487.5,1550.0,1724.0
2021-01-25,1585.0,1620.0,1525.0,1595.0,1929.0
2021-01-26,1602.5,1867.449951171875,1555.0,1817.5,7078.0
2021-01-27,1802.5,1965.0,1787.5,1815.0,3213.0
2021-01-28,1815.0,1860.0,1605.0,1827.5,2854.0
2021-01-29,1805.0,1815.0,1687.5,1720.0,1075.0
2021-02-01,1715.0,1805.0,1712.5250244140625,1750.0,873.0
2021-02-02,1762.5,1812.5,1687.5,1770.0,1051.0
2021-02-03,1775.0,1791.1500244140625,1575.0,1600.0,3140.0
2021-02-04,1637.5,1669.5999755859375,1555.0,1562.5,1641.0
2021-02-05,1587.5,1609.6500244140625,1502.5,1552.5,1918.0
2021-02-08,1502.5,1532.5,1412.5,1447.5,5923.0
2021-02-09,1462.5,1557.5,1395.0,1530.0,3137.0
2021-02-10,1562.5,1583.074951171875,1450.0,1495.0,1819.0
2021-02-11,1507.5,1537.25,1395.0,1405.0,1765.0
2021-02-12,1442.5,1467.5,1380.0,1400.0,1498.0
2021-02-16,1412.5,1447.5,1385.0,1415.0,1410.0
2021-02-17,1417.5,1461.300048828125,1400.0,1425.0,1413.0
2021-02-18,1422.5,1440.0,1330.0,1335.0,1530.0
2021-02-19,1345.0,1437.5,1340.0,1397.5,1107.0
2021-02-22,1400.0,1545.0,1375.0,1512.5,2339.0
2021-02-23,1455.0,1491.1500244140625,1312.5,1390.0,2306.0
2021-02-24,1437.5,1497.5,1380.0,1467.5,1107.0
2021-02-25,1472.5,1477.5,1317.5,1392.5,2004.0
2021-02-26,1352.5,1402.5,1350.0,1367.5,1279.0
2021-03-01,1365.0,1450.0,1365.0,1372.5,1259.0
2021-03-02,1390.0,1410.0,1332.5,1335.0,1044.0
2021-03-03,1352.5,1352.5,1182.5,1192.5,3795.0
2021-03-04,1200.0,1234.9749755859375,977.5,1012.5,3163.0
2021-03-05,1025.0,1033.75,900.0,997.5,2118.0
2021-03-08,1015.0,1045.0,977.5,977.5,948.0
2021-03-09,992.5,1067.5,987.5,1050.0,1400.0
2021-03-10,1065.0,1115.0,1027.5,1037.5,2012.0
2021-03-11,1062.5,1120.0,1037.5,1102.5,1389.0
2021-03-12,1075.0,1217.5,1062.5,1210.0,1374.0
2021-03-15,1215.875,1277.5,1162.5,1182.5,1760.0
2021-03-16,1187.5,1225.0,1140.0,1215.0,1206.0
2021-03-17,1177.5,1250.0,1171.199951171875,1245.0,1011.0
