Symbol,Sharpe Ratio,Annualized Return,Annualized Volatility
SNDK,3.2696513361983044,3.3687129168991228,1.0175375217389804
GEV,2.0340436886553253,1.1326795364734594,0.5363501006614667
DCII.JK,1.9432598525059526,1.5092433916425103,0.7551863897340824
GALD.SW,1.6808056933941444,0.6150465469271129,0.34110221655425754
VIK,1.65265830683266,0.683740686848844,0.38847757269676036
MDLN,1.5655563437370184,0.7364059825490342,0.44373106468812784
CRWV,1.3636726071634737,1.7119292665096624,1.2247875761546974
AMMN.JK,1.2517165037829248,0.7585291210237941,0.5726609176631502
402340.KS,1.1291089815901822,0.6250441305300163,0.5166234090133057
CEG,1.121163583298948,0.5954105133274473,0.4938534592649683
SDZ.SW,1.0973662742046737,0.3881758348136554,0.315715767510167
300502.SZ,1.0554751990303677,0.7202490794781634,0.6428659629218693
300750.SZ,1.0096875305809558,0.5131292413759012,0.46688626707245406
PLTR,0.989588152027467,0.7410978906202642,0.706736322452957
VRT,0.9891066878185132,0.5813090882336697,0.5455317364301575
603986.SS,0.97156509667153,0.580457852820017,0.5545051539544971
ARGX,0.9532758436224558,0.5298553682244808,0.5120609865201325
ENR.F,0.9526751597067251,0.4909304378327403,0.47152529793856734
329180.KS,0.9355545554230761,0.4835601064114855,0.4722761537923593
CARR,0.893730269392244,0.3740364096928255,0.37183076567995554
BPAC3.SA,0.879474711567755,0.5737579072278143,0.6049496374558024
HWM,0.8580225131299314,0.38344166081454234,0.39826654460923283
APP,0.8426218297090107,0.6946478632345727,0.7748765115030298
CVNA,0.8417873979472879,0.8869016162609589,1.0040321570607893
HAL.NS,0.8355709813874291,0.34459710375787467,0.362479204270122
NET,0.8196534547018348,0.591787784377314,0.6710979889227181
RKLB,0.8109693273063695,0.6615956513979244,0.7643638682901656
VST,0.7903325193310304,0.37340635158186175,0.4196794945869874
ASTS,0.7846870704695871,0.8259747706382341,0.9994490808362004
SYM,0.753563512365412,0.8234017135368071,1.0373136456272658
BNTX,0.7367702446684329,0.6114325880122918,0.7732567823166148
CRWD,0.7339708830267972,0.4520792095042724,0.559094672119215
DELL,0.7277821681818546,0.3397714671481347,0.4095338974563946
688256.SS,0.7198412453176094,0.5388620835554779,0.6906273952429243
MDB,0.7073688356974634,0.5039805603497904,0.6534929695915265
DSV.VI,0.6991242606868624,0.25366994569038515,0.30316491401513956
DMART.NS,0.6868026348441877,0.2577062206301686,0.31448076981506357
ARM,0.6766528670316944,0.5345969434782313,0.7284044274089959
BE,0.6719004723505049,0.674322209346828,0.9415117804880319
601127.SS,0.6699618389577223,0.410926390999785,0.5510857040168361
9992.HK,0.6631566027251502,0.4655975568377059,0.6391816891854583
207940.KS,0.6479574114528425,0.2880325634265552,0.38013696542327
UCB.VI,0.6407163240621194,0.2335499402195007,0.2993991782353086
BAM,0.636160029399831,0.2339058972996626,0.3021030701467067
SE,0.6193208996074916,0.4301864891274619,0.6272458915245822
2359.HK,0.6070603731318087,0.38602318689195647,0.5671646558024382
688012.SS,0.606896569018504,0.39702218485508245,0.5854410844937484
GULF.BK,0.5881191711712236,0.26020114108714765,0.37149127674021204
2082.SR,0.5865767910675107,0.28089220816840305,0.407742366382719
IR,0.5852059365197179,0.2423220132615179,0.34278875423097205
